No,kategory,name,,,,,,,,,,
1,ごはん,洋風懐石桜坂,sakurazaka.jpg,遠方からお客さんが訪れる隠れた名店＜桜坂＞、濃尾平野を一望しながらいただく贅沢なコースランチ、おもてなしの「日本の心」を味わえる希少なお店です。シェフとおかみさんのおしどり夫婦は、池田町憧れの夫婦像です。,営業時間：月曜日～土曜日【ランチ】11:00～14:00　【ディナー】17:00～21:00 ,定休日：日曜日,住所：岐阜県揖斐郡池田町藤代669-1,電話番号：0585-45-3444,完全予約制・二日前までの予約が必要。,駐車場：有,,
2,ごはん,四季旬彩ニュー池田,newikeda.jpg,お店のこだわりは、旬の地元食材を使い料理で季節を楽しんでもらうこと。「料理長おまかせ」のメニューは毎日献立が変わり、何度通っても色々な味が楽しめちゃいます！それを楽しみに訪れる常連さんも多いそうです。,営業時間：11:30～14:00 ? 17:00～21:00,定休日：月曜日（月曜祝日の場合は営業、翌日に休業　月一回連休有）,住所：岐阜県揖斐郡池田町池野201,電話番号：0120-48-2377（携帯）：0585-45-2377,駐車場：店舗前10台、第2駐車場14台（国道417号を挟んだ店舗向い側）,カード不可,,
3,ごはん,宇宙食堂,utyu.jpg,日替わりでシェフが変わる珍しいお店！火曜日の山ごはんよもぎは薬膳料理が楽しめるお店です。健康にも良いですし、特に冬は体の芯からポカポカすること間違いなしです。水曜日のD's Kitchenは洋食屋さんです。夫婦でお店をやっており、とてもフレンドリーな方なのでまったりとした時間が過ごせます。木曜日のスープ屋さんはスープカレーがおすすめです。辛さが7段階から選べるので、辛いものが苦手な方も得意な方も楽しめます。,営業時間：11:30～14:30　17:30～21:00,定休日：不定,住所：岐阜県揖斐郡池田町八幡2579-3　清水ビル1階,【火曜日】山ごはんよもぎ　電話番号090-9898-3219,【水曜日】D`skitchen　　 　電話番号090-6769-9914,【木曜日】スープ屋さん　　電話番号090-1271-5486,駐車場：有,カード不明
4,ごはん,カフェ　森,mori.jpg,ペットのわんちゃんと来れるお店です。安心手作り鹿肉ジャーキーや鹿肉野菜煮込みにわんちゃんも大喜び。普通の食事も大変美味しく、紅茶の豊富な種類は女性に人気です。愛犬と素敵なひと時をお過ごしください＾＾,営業時間：平日・土曜日9:00～15:00　　日曜・祝日8:30～16:00頃,定休日：木曜日（祝日の場合営業、他曜日臨時休業させていただく可能性がございますのでお問い合わせください。）,住所：岐阜県揖斐郡池田町白鳥339-11,電話番号：0585-45-0493（「ドッグカフェ.jpを見た」とお伝えください）,駐車場：6台　店舗前道路駐車可能,カード不明,,
5,ごはん,DINING BAR BALI HIGH,balihigh.jpg,岐阜菊川酒造とタイアップし、サーフーズブランドとも言われている焼酎「Bali High」を主に、女性に人気の自家製スイーツを始め、和洋折衷、200種類以上の豊富なメニューが楽しめます。,営業時間：18:30～2:00,定休日：火曜日、火曜日祝日の場合は営業し、翌日休業,住所：岐阜県揖斐郡池田町八幡918,電話番号：0585-45-0830,,,,
6,ごはん,ネシアン,nesian.jpg,揖斐周辺の豊かな自然の中で育った無農薬野菜を中心としたお料理。温かい雰囲気の中で頂く、自然の恵み。手書きのお品書きからはじまる、身体よろこぶ癒しの時間をお楽しみください。,営業時間：木曜日11:30～／第3土曜日11:00～／13:00～,定休日：（1～3月は冬季休業）,住所：岐阜県揖斐郡池田町般若畑171-1,電話番号：0585-41-9011,駐車場：不明,カード不明,,
7,ごはん,Ann`s cafe,anns.jpg,粕ヶ原にある、おしゃれな隠れ家のようなカフェです。モーニングは彩り鮮やかな野菜と、自家製パン、ジャムも数種類から選べます。平日の午後からはアフタヌーンサービスでパンケーキがついてきます。,営業時間：火～金9:00～18:00　土～日9:00～12:00(オーダーストップ11:00),定休日：月曜日,住所：岐阜県揖斐郡池田町粕ヶ原1121-2,電話番号：090-7868-1058,駐車場：有,,,
8,ごはん,やすらぎ珈琲店,yasuragi.jpg,自家製パンのモーニングもとても人気ですが、三段皿のアフタヌーンサービスをおすすめします！自家製パンの選べるサンドウィッチに手作りクッキー、このセットは飲物プラス350円で味わうことができます。店員さんの笑顔が素敵なお店です。,営業時間：7:00～20:00,定休日：木曜日,住所：岐阜県揖斐郡池田町八幡851-7,電話番号：0585-45-0104,駐車場：有,,,
9,ごはん,珈琲屋　木兎,bokuto.jpg,落ち着いた雰囲気の店内。1日の素敵な始まりに、格好いいマスターが淹れた深みのある珈琲を。ランチメニューは700円。海鮮ミックスフライは特に女性に人気なお料理です。珈琲を淹れる過程まで美味しく思えるお店です。,営業時間：8:30～18:00,定休日：日曜日,住所：岐阜県揖斐郡池田町下東野4-1,電話番号：0585-45-7406,駐車場：有,,,
10,ごはん,Sun Royale,sunroyale.jpg,どのケーキも可愛くて、注文に迷う時間も幸せに。揖斐茶ラテは、疲れた身体に染みわたり、つい頼みたくなるひと品。ランチのサラダバーは嬉しい人気のセットです。,営業時間：9:00～21:00　電話で要確認,定休日：水曜日,住所：岐阜県揖斐郡池田町本郷1368-4,電話番号：0585-45-2876,駐車場：有,,,
11,ごはん,伊吹堂,ibukido.jpg,お土産屋さんで、和菓子を取り扱っています。中でもイチオシは揚げパン！昔懐かしい味でリピートすること間違いなしです＾＾　地元の素材を使用しているので安心安全です。,営業時間：8:30～19:00,定休日：火曜日,住所：岐阜県揖斐郡池田町八幡2511-5,電話番号：0585-45-0890,駐車場：有,,,
12,ごはん,me，too,metoo.jpg,障害をもつ人たちの笑顔から繋がった縁が大きな円になって実現したのがこのレストランです。ランチはお野菜たくさｎボリューム満点！健康と地産地消を重視し、こんにゃくも手作りなど、真心がいっぱい＾＾ 池田の愛をぎゅっとつめたお店です。,営業時間：11:30～14:00,予約：可能（当日も可能）,住所：岐阜県揖斐郡池田町八幡2579-3,電話番号：090-7851-9301,駐車場：有,,,
13,ごはん,ふる里いび,furusato.jpg,元特別支援学校の先生をしていた方が、障害を持つ人の働く場として開業しました。減農薬野菜などを障害を持つ人たちと栽培しています。お店ではアイスや福祉団体の作ったクラフトなどが並んでいます。野菜はJA 、バーロー池田町の地産野菜コーナーで買うことができます。,営業時間：不定期,定休日：不定期,住所：岐阜県揖斐郡池田町小寺368-1,電話番号：090-1725-4082,駐車場：不明,,,
